drift_key,name,kind,group,state,expression,target_arns,target_invocation_ages_h,invocation_basis
justhodl-signal-fabric-cadence,justhodl-signal-fabric-cadence,events,,ENABLED,cron(10 0 * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-signal-fabric,0.254,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
justhodl-signal-optimizer-cadence,justhodl-signal-optimizer-cadence,events,,ENABLED,cron(50 23 * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-signal-optimizer,16.504,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
justhodl-smart-money-holdings-daily,justhodl-smart-money-holdings-daily,events,,ENABLED,cron(30 14 * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-smart-money-holdings,1.837,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
justhodl-smart-money-tracker-daily,justhodl-smart-money-tracker-daily,events,,ENABLED,cron(0 14 * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-smart-money-tracker,2.337,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
justhodl-stock-screener-4h,justhodl-stock-screener-4h,events,,ENABLED,rate(4 hours),arn:aws:lambda:us-east-1:857687956942:function:justhodl-stock-screener,3.587,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
justhodl-symbology-master-daily,justhodl-symbology-master-daily,events,,ENABLED,cron(15 5 * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-symbology-master,11.087,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
justhodl-te-fred-mirror-hourly,justhodl-te-fred-mirror-hourly,events,,ENABLED,rate(1 hour),arn:aws:lambda:us-east-1:857687956942:function:justhodl-te-fred-mirror,0.837,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
justhodl-tiingo-news-cadence,justhodl-tiingo-news-cadence,events,,ENABLED,cron(45 20 ? * MON-FRI *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-tiingo-news,19.587,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
justhodl-trade-logger-hourly,justhodl-trade-logger-hourly,events,,ENABLED,cron(50 * * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-trade-logger,0.504,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
justhodl-treasury-fiscal-daily,justhodl-treasury-fiscal-daily,events,,ENABLED,cron(55 5 * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-treasury-fiscal-full,10.42,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
justhodl-tv-bars-hourly,justhodl-tv-bars-hourly,events,,DISABLED,rate(1 hour),arn:aws:lambda:us-east-1:857687956942:function:justhodl-tv-bars,1.004,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
justhodl-usd-funding-daily,justhodl-usd-funding-daily,events,,ENABLED,cron(20 22 ? * MON-FRI *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-usd-funding,18.004,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
justhodl-usgov-direct-daily,justhodl-usgov-direct-daily,events,,ENABLED,cron(40 12 * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-usgov-direct,3.67,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
justhodl-vix-curve-30min,justhodl-vix-curve-30min,events,,ENABLED,rate(30 minutes),arn:aws:lambda:us-east-1:857687956942:function:justhodl-vix-curve,0.087,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
justhodl-warm-bridge-hourly,justhodl-warm-bridge-hourly,events,,ENABLED,rate(1 hour),arn:aws:lambda:us-east-1:857687956942:function:justhodl-warm-bridge,0.837,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
macro-calendar-daily,macro-calendar-daily,events,,ENABLED,cron(0 11 * * ? *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-macro-calendar,5.337,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
macro-financial-daily-execution,macro-financial-daily-execution,events,,ENABLED,rate(1 day),arn:aws:lambda:us-east-1:857687956942:function:macro-financial-intelligence,2.254,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
repo-metrics-15min,repo-metrics-15min,events,,ENABLED,rate(15 minutes),arn:aws:lambda:us-east-1:857687956942:function:enhanced-repo-agent,0.087,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
secretary-4h-scan,secretary-4h-scan,events,,ENABLED,rate(4 hours),arn:aws:lambda:us-east-1:857687956942:function:justhodl-financial-secretary,3.587,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
tax-plan-daily,tax-plan-daily,events,,ENABLED,cron(45 11 ? * * *),arn:aws:lambda:us-east-1:857687956942:function:justhodl-tax-plan,4.587,function-wide AWS/Lambda Invocations; 300s buckets; 48h window
